Season Number,Startup Name,Pitch Number,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,BluePineFoods,1,Badlegi Business Ki Tasveer,Rannvijay Singh,Food and Beverage,Frozen Momos,https://bluepinefoods.com/,2016.0,3,2.0,1.0,0.0,0,Middle,Delhi,Delhi,0.95,0.08,0.5,5.0,10.0,1,1,0.75,16.0,0.0,0.0,4.69,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.33,0.0,0.0,0.0,0.0,0.25,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.33,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,BoozScooters,2,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017.0,1,1.0,0.0,0.0,0,Young,Ahmedabad,Gujarat,0.04,0.004,0.4,15.0,2.67,1,1,0.4,50.0,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.0,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,HeartUpMySleeves,3,Badlegi Business Ki Tasveer,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021.0,1,0.0,1.0,0.0,0,Young,Delhi,Delhi,2.42,0.02,0.25,10.0,2.5,1,1,0.25,30.0,0.0,0.0,0.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,15.0,0.0,0.125,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,TagzFoods,4,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food and Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019.0,2,2.0,0.0,0.0,0,Middle,Bangalore,Karnataka,7.0,0.25,0.7,1.0,70.0,1,1,0.7,2.75,0.0,0.0,25.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.75,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,HeadAndHeart,5,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Children/Education,Brain Development Course,https://thehnh.in/,2015.0,4,1.0,3.0,0.0,1,Middle,Patiala,Punjab,0.3,0.25,0.5,5.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,Agritourism,6,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,https://www.agritourism.in/,2005.0,2,1.0,1.0,0.0,1,Middle,Baramati,Maharashtra,0.79,0.25,0.5,5.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,qZenseLabs,7,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Food Freshness Detector,https://www.qzense.com/,2020.0,2,0.0,2.0,0.0,0,Middle,"Delhi,Mohali","Delhi,Punjab",0.25,0.15,1.0,0.25,400.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,Peeschute,8,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019.0,1,1.0,0.0,0.0,0,Young,Jalna,Maharashtra,1.0,0.25,0.75,4.0,18.75,1,1,0.75,6.0,0.0,0.0,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,NOCD,9,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Energy Drink,https://www.jouleshealth.com/,2019.0,2,2.0,0.0,0.0,0,Middle,Bangalore,Karnataka,2.42,0.2,0.5,2.0,25.0,1,1,0.2,15.0,0.3,0.0,1.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,CosIQ,10,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021.0,2,1.0,1.0,0.0,1,Middle,Delhi,Delhi,0.0,0.04,0.5,7.5,6.67,1,1,0.5,25.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,12.5,0.0,0.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,JhaJiAchaar,11,Entrepreneurship Ki Wave,Rannvijay Singh,Food and Beverage,Pickle,https://www.jhajistore.com/,2021.0,2,0.0,2.0,0.0,0,Old,Darbhanga,Bihar,2.42,0.05,0.5,10.0,5.0,1,1,0.5660000000000001,5.62,0.0,0.0,10.07,2.0,0.0,0.0,0.0,0.0,0.28300000000000003,2.81,0.0,0.28300000000000003,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,Bummer,12,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Underwear,https://bummer.in/,2020.0,1,1.0,0.0,0.0,0,Young,Ahmedabad,Gujarat,0.36,0.15,0.75,4.0,18.75,1,1,0.75,7.5,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.375,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,RevampMoto,13,Hunt For Interesting Business,Rannvijay Singh,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,2021.0,3,3.0,0.0,0.0,0,Young,Nashik,Maharashtra,2.42,0.0001,1.0,1.0,100.0,1,1,1.0,1.5,0.0,0.0,66.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,HungryHead,14,Hunt For Interesting Business,Rannvijay Singh,Food and Beverage,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2013.0,2,2.0,0.0,0.0,0,Middle,Mumbai,Maharashtra,2.42,0.055,0.5,5.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,ShrawaniEngineers,15,Hunt For Interesting Business,Rannvijay Singh,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2019.0,2,1.0,1.0,0.0,1,Middle,Nagpur,Maharashtra,0.5,0.25,0.2,10.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,SkippiIcePops,16,"New Week, New Ideas",Rannvijay Singh,Food and Beverage,Ice-Pops,https://skippi.in/,2021.0,2,1.0,1.0,0.0,1,Middle,Hyderabad,Telangana,2.42,0.075,0.45,5.0,9.0,1,1,1.0,15.0,0.0,0.0,6.67,5.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,0.2,3.0,0.0,0.2,3.0,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
